,catapro,dlkcat,mmkcat,turnup,unikp,CatPred
r_0160_ENZ_YGR177C,0.0,0.0,0.0,0.0,0.0,0.0
r_0160_ENZ_YOR377W,0.0,0.0,0.0,0.0,0.0,0.0
r_0161_ENZ_YGR177C,0.0,0.0,0.0,0.0,0.0,0.0
r_0161_ENZ_YOR377W,0.0,0.0,0.0,0.0,0.0,0.0
r_0162_ENZ_YGR177C,0.0,0.0,0.0,0.0,0.0,0.0
r_0162_ENZ_YOR377W,0.0,0.0,0.0,0.0,0.0,0.0
r_0163_ENZ_YMR303C,0.0,1.937958504159716,1.3974721866207702,0.0,0.0,0.0
r_0164_ENZ_YDR368W,0.0,0.0,0.0,0.0,0.0,0.0
r_0164_ENZ_YHR104W,0.0,0.0,0.0,0.0,0.0,0.0
r_0165_ENZ_YGL256W,0.0,0.0,0.0,0.0,0.0,0.0
r_0165_ENZ_YMR083W,0.0,1.937958504159716,1.3974721866207702,0.0,0.0,0.0
r_0166_ENZ_YBR145W,0.0,0.0,0.0,0.0,0.0,0.0
r_0166_ENZ_YDL168W,0.0,0.0,0.0,0.0,0.0,0.0
r_0166_ENZ_YOL086C,0.0,0.0,0.0,0.0,0.0,0.0
r_0167_ENZ_YGL256W,0.0,0.0,0.0,0.0,0.0,0.0
r_0167_ENZ_YMR083W,0.0,0.0,0.0,0.0,0.0,0.0
r_0168_ENZ_YCR105W,0.0,0.0,0.0,0.0,0.0,0.0
r_0168_ENZ_YDR368W,0.0,0.0,0.0,0.0,0.0,0.0
r_0168_ENZ_YMR318C,0.0,0.0,0.0,0.0,0.0,0.0
r_0169_ENZ_YBR145W,0.0,0.0,0.0,0.0,0.0,0.0
r_0169_ENZ_YDL168W,0.0,0.0,0.0,0.0,0.0,0.0
r_0169_ENZ_YOL086C,0.0,0.0,0.0,0.0,0.0,0.0
r_0170_ENZ_YGL256W,0.0,0.0,0.0,0.0,0.0,0.0
r_0170_ENZ_YMR083W,0.0,0.0,0.0,0.0,0.0,0.0
r_0171_ENZ_YCR105W,0.0,0.0,0.0,0.0,0.0,0.0
r_0171_ENZ_YMR318C,0.0,0.0,0.0,0.0,0.0,0.0
r_0172_ENZ_YMR170C,4.079907192128425e-05,7.487678982265322e-05,5.761000570281283e-05,0.0,4.033906100375795e-05,5.31237091036155e-05
r_0172_ENZ_YMR169C,0.0,0.0,0.0,0.0001171775235598,0.0,0.0
r_0173_ENZ_YPL061W,0.2944350954853269,0.5403641240561907,0.4157547397821142,0.8456362783109428,0.2911153298127264,0.383378435485395
r_0174_ENZ_YOR374W,0.0,0.0,0.0,0.0,0.0,0.0
r_0175_ENZ_YER073W,0.0,0.0,0.0,0.0,0.0,0.0
r_0175_ENZ_YOR374W,0.0,0.0,0.0,0.0,0.0,0.0
r_0176_ENZ_YOR374W,0.0,0.0,0.0,0.0,0.0,0.0
r_0177_ENZ_YPL061W,0.0,0.0,0.0,0.0,0.0,0.0
r_0178_ENZ_YER073W,0.0,0.0,0.0,0.0,0.0,0.0
r_0178_ENZ_YOR374W,0.0,0.0,0.0,0.0,0.0,0.0
r_0179_ENZ_YBR145W,0.0,0.0,0.0,0.0,0.0,0.0
r_0179_ENZ_YDL168W,0.0,0.0,0.0,0.0,0.0,0.0
r_0179_ENZ_YOL086C,0.0,0.0,0.0,0.0,0.0,0.0
r_0180_ENZ_YGL256W,0.0,0.0,0.0,0.0,0.0,0.0
r_0180_ENZ_YMR083W,0.0,0.0,0.0,0.0,0.0,0.0
r_0181_ENZ_YCR105W,0.0,0.0,0.0,0.0,0.0,0.0
r_0181_ENZ_YMR318C,0.0,0.0,0.0,0.0,0.0,0.0
r_0182_ENZ_YBR145W,0.0,0.0,0.0,0.0,0.0,0.0
r_0182_ENZ_YDL168W,0.0,0.0,0.0,0.0,0.0,0.0
r_0182_ENZ_YOL086C,0.0,0.0,0.0,0.0,0.0,0.0
r_0183_ENZ_YGL256W,0.0,0.0,0.0,0.0,0.0,0.0
r_0183_ENZ_YMR083W,0.0,0.0,0.0,0.0,0.0,0.0
r_0184_ENZ_YCR105W,0.0,0.0,0.0,0.0,0.0,0.0
r_0184_ENZ_YMR318C,0.0,0.0,0.0,0.0,0.0,0.0
r_0185_ENZ_YMR169C,0.0,0.0,0.0,0.0,0.0,0.0
r_0185_ENZ_YMR170C,0.0,0.0,0.0,0.0,0.0,0.0
r_0186_ENZ_YBR145W,0.0,0.0,0.0,0.0,0.0,0.0
r_0186_ENZ_YDL168W,0.0,0.0,0.0,0.0,0.0,0.0
r_0186_ENZ_YOL086C,0.0,0.0,0.0,0.0,0.0,0.0
r_0187_ENZ_YGL256W,0.0,0.0,0.0,0.0,0.0,0.0
r_0187_ENZ_YMR083W,0.0,0.0,0.0,0.0,0.0,0.0
r_0188_ENZ_YDR481C,0.0,2.498520269791915e-05,0.0,0.0,0.0,0.0
r_0189_ENZ_YIR029W_REV,0.0,0.0,0.0,0.0,0.0,0.0
